filename,llm_predicted,adapter_predicted,ground_truth,llm_error,adapter_error,adapter_improved
tomato176,7,8.2,2,5,6.2,false
tomato101,27,31.7,9,18,22.7,false
tomato104,3,3.5,3,0,0.5,false
tomato194,4,4.7,5,1,0.3,true
tomato185,3,3.5,3,0,0.5,false
tomato165,3,3.5,3,0,0.5,false
tomato114,1,1.2,1,0,0.2,false
tomato174,1,1.2,1,0,0.2,false
tomato183,1,1.2,1,0,0.2,false
tomato125,7,8.2,9,2,0.8,true
tomato140,0,0,1,1,1,false
tomato102,6,7.1,5,1,2.1,false
tomato182,3,3.5,3,0,0.5,false
tomato108,24,28.2,20,4,8.2,false
tomato130,8,9.4,9,1,0.4,true
tomato171,2,2.4,2,0,0.4,false
tomato122,0,0,1,1,1,false
tomato107,2,2.4,3,1,0.6,true
tomato199,7,8.2,14,7,5.8,true
tomato190,9,10.6,8,1,2.6,false
tomato129,0,0,4,4,4,false
tomato101,37,43.5,9,28,34.5,false
tomato198,15,17.6,11,4,6.6,false
tomato155,2,2.4,2,0,0.4,false
tomato133,2,2.4,2,0,0.4,false
tomato173,3,3.5,8,5,4.5,true
tomato10,1,1.2,1,0,0.2,false
tomato179,1,1.2,1,0,0.2,false
tomato156,1,1.2,2,1,0.8,true
tomato111,1,1.2,1,0,0.2,false
tomato131,4,4.7,5,1,0.3,true
tomato141,7,8.2,9,2,0.8,true
tomato136,13,15.3,9,4,6.3,false
tomato100,2,2.4,1,1,1.4,false
tomato15,1,1.2,1,0,0.2,false
tomato191,3,3.5,2,1,1.5,false
tomato147,6,7.1,6,0,1.1,false
tomato123,7,8.2,6,1,2.2,false
tomato120,0,0,1,1,1,false
tomato177,7,8.2,7,0,1.2,false
tomato152,4,4.7,3,1,1.7,false
tomato110,6,7.1,3,3,4.1,false
tomato116,2,2.4,3,1,0.6,true
tomato113,2,2.4,2,0,0.4,false
tomato170,15,17.6,16,1,1.6,false
tomato193,0,0,1,1,1,false
tomato118,7,8.2,10,3,1.8,true
tomato138,3,3.5,3,0,0.5,false
tomato119,2,2.4,2,0,0.4,false
tomato100,2,2.4,1,1,1.4,false
tomato196,5,5.9,3,2,2.9,false
tomato167,2,2.4,3,1,0.6,true
tomato181,1,1.2,4,3,2.8,true
tomato121,2,2.4,2,0,0.4,false
tomato197,4,4.7,2,2,2.7,false
tomato188,1,1.2,1,0,0.2,false
tomato142,13,15.3,10,3,5.3,false
tomato117,4,4.7,3,1,1.7,false
tomato143,3,3.5,2,1,1.5,false
tomato106,0,0,1,1,1,false
tomato195,2,2.4,2,0,0.4,false
tomato108,24,28.2,20,4,8.2,false
tomato14,5,5.9,5,0,0.9,false
tomato110,6,7.1,3,3,4.1,false
tomato137,6,7.1,5,1,2.1,false
